2960,HITOM
2968,LOTOM+FLTOM
2976,SNARE+FLTOM
2984,
2992,HITOM+BASS
3000,LOTOM
3008,HITOM
3016,LOTOM
3024,HITOM
3032,HIHAT+LOTOM
3040,HIHAT+SNARE
3048,
3056,FLTOM
3064,
3072,HITOM+BASS
3080,LOTOM
3088,HITOM
3096,LOTOM+FLTOM
3104,SNARE+FLTOM
3112,
3120,HITOM+BASS
3128,LOTOM
3136,HITOM
3144,LOTOM
3152,HITOM
3160,LOTOM
3168,CYMBAL+SNARE+BASS
3176,SNARE+FLTOM
3184,HITOM
3192,HITOM
3200,HITOM+BASS
3208,LOTOM
3216,HITOM
3224,LOTOM+FLTOM
3232,SNARE+FLTOM
3240,
3248,HITOM+BASS
3256,LOTOM
3264,HITOM
3272,LOTOM
3280,HITOM
3288,HIHAT+LOTOM
3296,HIHAT+SNARE
3304,
3312,FLTOM
3320,
3328,HITOM+BASS
3336,LOTOM
3344,HITOM
3352,LOTOM+FLTOM
3360,SNARE+FLTOM
3368,
3376,HITOM+BASS
3384,LOTOM
3392,HITOM
3400,LOTOM
3408,HITOM
3416,HIHAT+LOTOM
3424,HIHAT+SNARE
3432,
3440,FLTOM
3448,
3456,HITOM+BASS
3464,LOTOM
3472,HITOM
3480,LOTOM+FLTOM
3488,SNARE+FLTOM
3496,
3504,HITOM+BASS
3512,LOTOM
3520,HITOM
3528,LOTOM
3536,HITOM
3544,HIHAT+LOTOM
3552,HIHAT+SNARE
3560,
3568,FLTOM
3576,
3584,HITOM+BASS
3592,LOTOM
3600,HITOM
3608,LOTOM+FLTOM
3616,SNARE+FLTOM
3624,
3632,HITOM+BASS
3640,LOTOM
3648,HITOM
3656,LOTOM
3664,HITOM
3672,LOTOM
3680,CYMBAL+SNARE+BASS
3688,SNARE+FLTOM
3696,HITOM
3704,HITOM
3712,HITOM+BASS
3720,LOTOM
3728,HITOM
3736,LOTOM+FLTOM
3744,SNARE+FLTOM
3752,
3760,HITOM+BASS
3768,LOTOM
3776,HITOM
3784,LOTOM
3792,HITOM
3800,HIHAT+LOTOM
3808,HIHAT+SNARE
3816,
3824,FLTOM
3832,
3840,HITOM+BASS
3848,LOTOM
3856,HITOM
3864,LOTOM+FLTOM
3872,SNARE+FLTOM
3880,
3888,HITOM+BASS
3896,LOTOM
3904,HITOM
3912,LOTOM
3920,HITOM
3928,HIHAT+LOTOM
3936,HIHAT+SNARE
3944,
3952,FLTOM
3960,
3968,HITOM+BASS
3976,LOTOM
3984,HITOM
3992,LOTOM+FLTOM
4000,SNARE+FLTOM
4008,
4016,HITOM+BASS
4024,LOTOM
4032,HITOM
4040,LOTOM
4048,HITOM
4056,HIHAT+LOTOM
4064,HIHAT+SNARE
4072,
4080,FLTOM
4088,
4096,HITOM+BASS
4104,LOTOM
4112,HITOM
4120,LOTOM+FLTOM
4128,SNARE+FLTOM
